Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57643-110313,C,Bol,Bol Bol,Bol,4.733333269755046,24,3500,DEN@GS,DEN,GS,,,,,,C
57643-9453,PF,Al,Al Horford,Horford,31.735713413783483,28,3500,WAS@OKC,OKC,WAS,O,Coach's decision,,,,PF
57643-42733,SF,David,David Nwaba,Nwaba,20.00333251953125,30,3500,LAC@HOU,HOU,LAC,O,Wrist,,,,SF
57643-110319,PG,Tremont,Tremont Waters,Waters,8.011764526367188,17,3500,BOS@BKN,BOS,BKN,,,,,,PG
57643-67312,C,Thomas,Thomas Bryant,Bryant,26.370001220703124,10,3500,WAS@OKC,WAS,OKC,O,Knee,,,,C
57643-110323,C,Eric,Eric Paschall,Paschall,15.648717635717148,39,3500,DEN@GS,GS,DEN,GTD,Hip,,,,C
57643-84722,PF,Isaac,Isaac Bonga,Bonga,6.072222391764323,36,3500,WAS@OKC,WAS,OKC,,,,,,PF
57643-110329,PF,Bruno,Bruno Fernando,Fernando,4.566666779694734,27,3500,MIA@ATL,ATL,MIA,,,,,,PF
57643-9466,PG,D.J.,D.J. Augustin,Augustin,14.301961263020834,51,3500,LAC@HOU,HOU,LAC,GTD,Ankle,,,,PG
57643-97018,PG,Chris,Chris Chiozza,Chiozza,10.7863637750799,22,3500,BOS@BKN,BKN,BOS,O,Hand,,,,PG
57643-110332,PG,Carsen,Carsen Edwards,Edwards,6.565217391304348,23,3500,BOS@BKN,BOS,BKN,,,,,,PG
57643-110341,SG,Dylan,Dylan Windler,Windler,12.899999803112399,31,3500,CLE@CHA,CLE,CHA,O,Knee,,,,SG
57643-110343,SF,Nassir,Nassir Little,Little,10.328204815204327,39,3500,MEM@POR,POR,MEM,,,,,,SF
57643-111371,PG,Justin,Justin Robinson,Robinson,6.237500190734863,8,3500,WAS@OKC,OKC,WAS,,,,,,PG
57643-55055,PG,Dante,Dante Exum,Exum,12.316666920979818,6,3500,LAC@HOU,HOU,LAC,O,Calf,,,,PG
57643-111376,SG,John,John Konchar,Konchar,11.485294117647058,34,3500,MEM@POR,MEM,POR,,,,,,SG
57643-110355,SF,Mfiondu,Mfiondu Kabengele,Kabengele,2.9555556685836226,27,3500,CLE@CHA,CLE,CHA,,,,,,SF
57643-110365,PF,Alen,Alen Smailagic,Smailagic,4.087500095367432,8,3500,DEN@GS,GS,DEN,,,,,,PF
57643-119602,SF,Jontay,Jontay Porter,Porter,3.0428570338657925,7,3500,MEM@POR,MEM,POR,,,,,,SF
57643-145730,SG,Nate,Nate Darling,Darling,2.2833333015441895,6,3500,CLE@CHA,CHA,CLE,O,Ankle,,,,SG
57643-40769,PF,Jordan,Jordan Bell,Bell,14.824999809265137,4,3500,WAS@OKC,WAS,OKC,,,,,,PF
57643-145737,SG,Brodric,Brodric Thomas,Thomas,6.18947360390111,19,3500,CLE@CHA,CLE,CHA,,,,,,SG
57643-9589,PF,Udonis,Udonis Haslem,Haslem,7.925000190734863,4,3500,MIA@ATL,MIA,ATL,,,,,,PF
